Niche,Typical_Deal_USD,LTV_USD,Gross_Margin_pct,Payment,Sales_Cycle_days,Primary_Channels,Delivery_Difficulty,Gross_Profit_USD,Rec_CAC_Ceiling_USD,StressA_GP_minus_2xCAC,StressB_GP_minus_1_43xCAC,StressC_Cashflow_Risk,StressD_GP_at_-20%,Cushion_0to4,Serviceability_1easy_5hard,Marketability,Econ_score,Cushion_score,Serviceability_score,Marketability_score,Composite_10pt
Dental Sleep Medicine Practices,48000,144000,78,Retainer,45,Google Ads/LinkedIn/Email,2,37440.0,4500.0,28440.0,31005.0,LOW,29952.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Fertility Clinics & IVF Centers,72000,216000,78,Retainer,50,Google Ads/Instagram/Email,3,56160.0,4500.0,47160.0,49725.0,LOW,44928.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Addiction & Behavioral Health Treatment Centers,60000,180000,77,Retainer,45,Google Ads/LinkedIn/Email,3,46200.0,4500.0,37200.0,39765.0,LOW,36960.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Telehealth Platform Companies,72000,216000,76,Retainer,55,LinkedIn/Google Ads/Cold Email,3,54720.0,4500.0,45720.0,48285.0,LOW,43776.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Compounding Pharmacies,42000,126000,75,Retainer,45,LinkedIn/Google Ads/Email,2,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Organic & Regenerative Farms,36000,108000,72,Retainer,40,Instagram/LinkedIn/Email,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Indoor Hydroponic Growers,48000,144000,72,Retainer,45,LinkedIn/Instagram/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Specialty Crop Farms (Hemp Lavender Hops),42000,126000,72,Retainer,40,Instagram/LinkedIn/Email,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Masonry & Stonework Contractors,42000,126000,70,Retainer,45,LinkedIn/Google Ads/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Specialty Flooring Contractors,42000,126000,70,Retainer,45,LinkedIn/Google Ads/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Insulation Contractors,36000,108000,70,Retainer,40,LinkedIn/Google Ads/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Painting Contractors,36000,108000,70,Retainer,40,LinkedIn/Google Ads/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Tile & Terrazzo Contractors,36000,108000,70,Retainer,40,LinkedIn/Google Ads/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Door & Hardware Contractors,36000,108000,70,Retainer,40,LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Landscape Architecture Firms,48000,144000,73,Retainer,45,LinkedIn/Instagram/Cold Email,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Roadside Assistance & Towing Companies,30000,90000,68,Retainer,35,Google Ads/Facebook/LinkedIn,2,20400.0,4500.0,11400.0,13965.0,LOW,16320.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Cybersecurity Consulting Firms (SMB),60000,180000,78,Retainer,50,LinkedIn/Cold Email/Content,3,46800.0,4500.0,37800.0,40365.0,LOW,37440.0,4,3,4,10.0,10.0,6.0,8.0,8.8
AI & Machine Learning Consulting Firms,84000,252000,76,Retainer,65,LinkedIn/Cold Email,3,63840.0,4500.0,54840.0,57405.0,LOW,51072.0,4,3,4,10.0,10.0,6.0,8.0,8.8
SaaS Product Development Studios,72000,216000,76,Retainer,55,LinkedIn/Cold Email/Content,3,54720.0,4500.0,45720.0,48285.0,LOW,43776.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Low-Code & No-Code App Development Firms,60000,180000,75,Retainer,50,LinkedIn/Cold Email/Content,3,45000.0,4500.0,36000.0,38565.0,LOW,36000.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Blockchain & Web3 Development Firms,72000,216000,74,Retainer,55,LinkedIn/Cold Email/Twitter,3,53280.0,4500.0,44280.0,46845.0,LOW,42624.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Commercial Printing & Label Manufacturers,42000,126000,70,Retainer,45,LinkedIn/Cold Email/Google Ads,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Powder Coating & Surface Treatment Firms,36000,108000,70,Retainer,45,LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Custom Furniture & Millwork Manufacturers,42000,126000,71,Retainer,45,Instagram/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Golf Course Management Companies,48000,144000,71,Retainer,45,LinkedIn/Instagram/Email,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Theme & Amusement Park Operators,72000,216000,70,Retainer,60,LinkedIn/Instagram/Google Ads,3,50400.0,4500.0,41400.0,43965.0,LOW,40320.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Fitness Equipment Distributors,42000,126000,70,Retainer,45,LinkedIn/Google Ads/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Ski Resort & Mountain Operations,54000,162000,71,Retainer,50,Instagram/LinkedIn/Google Ads,3,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,3,4,10.0,10.0,6.0,8.0,8.8
Marina & Boat Storage Operators,36000,108000,70,Retainer,40,Instagram/LinkedIn/Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
CCTV & Video Surveillance Installers,42000,126000,71,Retainer,40,LinkedIn/Google Ads/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Background Check & Screening Firms,42000,126000,72,Retainer,40,LinkedIn/Cold Email,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Immigration Law Firms,48000,144000,80,Retainer,40,LinkedIn/Google Ads/Referral,2,38400.0,4500.0,29400.0,31965.0,LOW,30720.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Estate Planning & Probate Attorneys,42000,126000,80,Retainer,40,Google Ads/LinkedIn/Referral,2,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Financial Planning Practices,48000,144000,78,Retainer,45,LinkedIn/Google Ads/Referral,2,37440.0,4500.0,28440.0,31005.0,LOW,29952.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Property Management Companies,48000,144000,71,Retainer,50,LinkedIn/Google Ads/Cold Email,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Appraisal Firms,42000,126000,74,Retainer,50,LinkedIn/Cold Email/Referral,2,31080.0,4500.0,22080.0,24645.0,LOW,24864.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Land Survey Companies,36000,108000,72,Retainer,45,LinkedIn/Cold Email/Google Ads,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Title Insurance Companies,42000,126000,70,Retainer,45,LinkedIn/Cold Email/Referral,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Mortgage Brokerage Firms,48000,144000,72,Retainer,40,LinkedIn/Google Ads/Referral,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Cleaning & Janitorial Companies,30000,90000,68,Retainer,35,LinkedIn/Google Ads/Cold Email,2,20400.0,4500.0,11400.0,13965.0,LOW,16320.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Pest Control Companies,30000,90000,69,Retainer,35,Google Ads/LinkedIn/Cold Email,2,20700.0,4500.0,11700.0,14265.0,LOW,16560.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Landscaping & Snow Removal Companies,36000,108000,69,Retainer,40,LinkedIn/Google Ads/Cold Email,2,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Fire & Water Damage Restoration Companies,42000,126000,71,Retainer,35,Google Ads/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Locksmith & Access Control Companies,30000,90000,71,Retainer,35,Google Ads/LinkedIn/Cold Email,2,21300.0,4500.0,12300.0,14865.0,LOW,17040.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Vending Machine & Micro-Market Operators,30000,90000,69,Retainer,35,LinkedIn/Cold Email,2,20700.0,4500.0,11700.0,14265.0,LOW,16560.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Laundry Service Providers,36000,108000,69,Retainer,40,LinkedIn/Cold Email,2,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Grounds Maintenance for Commercial Properties,30000,90000,69,Retainer,35,LinkedIn/Google Ads/Cold Email,2,20700.0,4500.0,11700.0,14265.0,LOW,16560.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Window Cleaning & High-Rise Maintenance Companies,30000,90000,70,Retainer,35,LinkedIn/Cold Email,2,21000.0,4500.0,12000.0,14565.0,LOW,16800.0,4,2,3,10.0,10.0,8.0,6.0,8.8
HVAC Maintenance Contract Companies,42000,126000,70,Retainer,40,LinkedIn/Google Ads/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Specialty Coffee Equipment Distributors,42000,126000,71,Retainer,45,LinkedIn/Instagram/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Corporate Catering Companies,42000,126000,71,Retainer,40,LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Corporate Event Production Companies,54000,162000,72,Retainer,50,LinkedIn/Cold Email,2,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Audio-Visual Production Companies,48000,144000,72,Retainer,45,LinkedIn/Cold Email/Instagram,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Music Recording Studios,36000,108000,72,Retainer,35,Instagram/LinkedIn/Email,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Irrigation Installation & Service Companies,36000,108000,70,Retainer,40,Google Ads/LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Tree Service & Arborist Companies,30000,90000,70,Retainer,35,Google Ads/Facebook/Cold Email,2,21000.0,4500.0,12000.0,14565.0,LOW,16800.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Horse & Equine Facility Operators,36000,108000,71,Retainer,40,Instagram/LinkedIn/Email,2,25560.0,4500.0,16560.0,19125.0,LOW,20448.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Home Inspection Companies,24000,72000,72,Retainer,30,Google Ads/Facebook/Email,2,17280.0,4500.0,8280.0,10845.0,LOW,13824.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Radon Mitigation Contractors,24000,72000,71,Retainer,30,Google Ads/Facebook/Cold Email,2,17040.0,4500.0,8040.0,10605.0,LOW,13632.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Garage Door Installation & Service Companies,24000,72000,70,Retainer,30,Google Ads/Facebook/Cold Email,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Fence Installation Companies,24000,72000,70,Retainer,30,Google Ads/Facebook/Cold Email,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Driveway & Paving Contractors,30000,90000,69,Retainer,35,Google Ads/Facebook/Cold Email,2,20700.0,4500.0,11700.0,14265.0,LOW,16560.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Chimney Sweep & Fireplace Service Companies,24000,72000,70,Retainer,30,Google Ads/Facebook/Email,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Self-Storage Facility Operators,42000,126000,70,Retainer,45,Google Ads/LinkedIn/Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Shredding & Data Destruction Companies,36000,108000,70,Retainer,45,LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Commercial Interior Design Firms,48000,144000,74,Retainer,45,LinkedIn/Instagram/Cold Email,2,35520.0,4500.0,26520.0,29085.0,LOW,28416.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Signage & Wayfinding Companies,36000,108000,70,Retainer,40,LinkedIn/Cold Email/Google Ads,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Printing & Promotional Products Companies,36000,108000,70,Retainer,35,LinkedIn/Cold Email/Google Ads,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Tradeshow Staffing Companies,42000,126000,71,Retainer,40,LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Work Zone Traffic Control Companies,36000,108000,70,Retainer,40,LinkedIn/Cold Email/Google Ads,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
LED Lighting Retrofit Contractors,36000,108000,71,Retainer,40,LinkedIn/Google Ads/Cold Email,2,25560.0,4500.0,16560.0,19125.0,LOW,20448.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Generator Installation & Service Companies,42000,126000,70,Retainer,45,LinkedIn/Google Ads/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Sleep Study Centers,42000,126000,75,Retainer,40,Google Ads/LinkedIn/Email,2,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Occupational Health Clinics,42000,126000,74,Retainer,40,LinkedIn/Google Ads/Cold Email,2,31080.0,4500.0,22080.0,24645.0,LOW,24864.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Medical Billing & Coding Companies,42000,126000,74,Retainer,45,LinkedIn/Cold Email/Google Ads,2,31080.0,4500.0,22080.0,24645.0,LOW,24864.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Craft Spirits Accelerator Programs,48000,144000,75,Retainer,45,LinkedIn/Instagram/Cold Email,2,36000.0,4500.0,27000.0,29565.0,LOW,28800.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Sustainable Packaging Suppliers for Spirits,48000,144000,71,Retainer,50,LinkedIn/Instagram/Cold Email,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Spirits Certification Programs,30000,90000,74,Retainer,35,LinkedIn/Instagram/Email,2,22200.0,4500.0,13200.0,15765.0,LOW,17760.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Spirits Label Printing Companies,36000,108000,70,Retainer,40,LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Secondary Market Spirits Dealers,42000,126000,71,Retainer,40,Instagram/LinkedIn/Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Direct Mail Marketing Companies,42000,126000,71,Retainer,40,LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Retail Merchandising Agencies,48000,144000,73,Retainer,45,LinkedIn/Cold Email,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Field Marketing & Brand Ambassador Companies,48000,144000,72,Retainer,45,LinkedIn/Cold Email/Instagram,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Orthotic & Prosthetic Clinics,42000,126000,75,Retainer,40,LinkedIn/Google Ads/Email,2,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Sleep Medicine Clinics,42000,126000,75,Retainer,40,Google Ads/LinkedIn/Email,2,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Allergy & Immunology Practices,42000,126000,76,Retainer,40,Google Ads/LinkedIn/Email,2,31920.0,4500.0,22920.0,25485.0,LOW,25536.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Hyperbaric Oxygen Therapy Centers,36000,108000,74,Retainer,40,Google Ads/Instagram/Email,2,26640.0,4500.0,17640.0,20205.0,LOW,21312.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Compounding Veterinary Pharmacies,36000,108000,73,Retainer,40,LinkedIn/Google Ads/Email,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Animal Rehabilitation Centers,30000,90000,72,Retainer,35,Instagram/Google Ads/Email,2,21600.0,4500.0,12600.0,15165.0,LOW,17280.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Construction Safety Training Companies,42000,126000,73,Retainer,40,LinkedIn/Cold Email,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,3,10.0,10.0,8.0,6.0,8.8
OSHA Compliance Consultants,42000,126000,74,Retainer,45,LinkedIn/Cold Email,2,31080.0,4500.0,22080.0,24645.0,LOW,24864.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Fall Protection Equipment Distributors,42000,126000,70,Retainer,45,LinkedIn/Cold Email/Trade Shows,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Cloud Accounting Software Resellers,42000,126000,73,Retainer,40,LinkedIn/Cold Email/Google Ads,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Bookkeeping Service Companies,30000,90000,72,Retainer,30,LinkedIn/Google Ads/Referral,2,21600.0,4500.0,12600.0,15165.0,LOW,17280.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Virtual CFO Services,54000,162000,78,Retainer,45,LinkedIn/Cold Email/Referral,2,42120.0,4500.0,33120.0,35685.0,LOW,33696.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Tax Credit Consulting Firms (R&D ERC),54000,162000,78,Retainer,45,LinkedIn/Cold Email,2,42120.0,4500.0,33120.0,35685.0,LOW,33696.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Carbon Credit Brokerages,54000,162000,74,Retainer,55,LinkedIn/Cold Email/Events,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Green Building Certification Consultants,48000,144000,74,Retainer,50,LinkedIn/Cold Email,2,35520.0,4500.0,26520.0,29085.0,LOW,28416.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Water Well Drilling & Pump Companies,36000,108000,70,Retainer,40,LinkedIn/Google Ads/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Septic System Installation Companies,30000,90000,70,Retainer,35,Google Ads/Facebook/Cold Email,2,21000.0,4500.0,12000.0,14565.0,LOW,16800.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Geothermal Heating Installation Companies,42000,126000,71,Retainer,45,Google Ads/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Radon & Indoor Air Quality Testing Companies,24000,72000,71,Retainer,30,Google Ads/Facebook/Email,2,17040.0,4500.0,8040.0,10605.0,LOW,13632.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Flood Mitigation Contractors,42000,126000,71,Retainer,45,LinkedIn/Google Ads/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Structural Inspection Companies,42000,126000,72,Retainer,45,LinkedIn/Cold Email/Google Ads,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,3,10.0,10.0,8.0,6.0,8.8
Contract Distillers,60000,180000,72,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,43200.0,4500.0,34200.0,36765.0,LOW,34560.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Toll Distilling Services,48000,144000,70,Retainer,45,LinkedIn/Cold Email/Industry Events,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,3,10.0,10.0,6.0,6.0,8.4
White Label Spirits Producers,54000,162000,72,Retainer,50,LinkedIn/Cold Email/Trade Shows,3,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Private Label Whiskey Producers,60000,180000,73,Retainer,55,LinkedIn/Cold Email/Industry Events,3,43800.0,4500.0,34800.0,37365.0,LOW,35040.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Contract Bourbon Distilleries,66000,198000,74,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,48840.0,4500.0,39840.0,42405.0,LOW,39072.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Contract Gin Distilleries,54000,162000,72,Retainer,50,LinkedIn/Cold Email/Industry Events,3,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Contract Rum Distilleries,54000,162000,72,Retainer,50,LinkedIn/Cold Email/Trade Shows,3,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Contract Vodka Producers,54000,162000,71,Retainer,50,LinkedIn/Cold Email/Industry Events,3,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Contract Tequila Producers,60000,180000,73,Retainer,55,LinkedIn/Cold Email/Trade Shows,3,43800.0,4500.0,34800.0,37365.0,LOW,35040.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Craft Spirits Incubators,42000,126000,75,Retainer,45,LinkedIn/Cold Email/Accelerator Networks,3,31500.0,4500.0,22500.0,25065.0,LOW,25200.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Craft Spirits Distributors,48000,144000,70,Retainer,55,LinkedIn/Cold Email/Trade Shows,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Beverage Alcohol Importers,60000,180000,71,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,42600.0,4500.0,33600.0,36165.0,LOW,34080.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Wine & Spirits Wholesalers,60000,180000,70,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,42000.0,4500.0,33000.0,35565.0,LOW,33600.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Alcohol Beverage Logistics Firms,48000,144000,70,Retainer,55,LinkedIn/Cold Email,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Cross-Border Spirits Importers,54000,162000,71,Retainer,60,LinkedIn/Cold Email,3,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Craft Beer Distributors,42000,126000,69,Retainer,50,LinkedIn/Cold Email,3,28980.0,4500.0,19980.0,22545.0,LOW,23184.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Last-Mile Beverage Delivery Services,42000,126000,70,Retainer,45,LinkedIn/Cold Email,3,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Spirits E-commerce Fulfillment Centers,48000,144000,70,Retainer,50,LinkedIn/Cold Email,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Cooperage & Barrel Manufacturers,54000,162000,71,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Distillery Equipment Manufacturers,66000,198000,72,Retainer,70,LinkedIn/Cold Email/Trade Shows,3,47520.0,4500.0,38520.0,41085.0,LOW,38016.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Grain & Malt Suppliers for Distilleries,48000,144000,70,Retainer,55,LinkedIn/Cold Email/Trade Shows,3,33600.0,4500.0,24600.0,27165.0,LOW,26880.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Botanical Ingredient Suppliers,42000,126000,70,Retainer,50,LinkedIn/Cold Email,3,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Spirits Bottle & Glass Manufacturers,54000,162000,70,Retainer,60,LinkedIn/Cold Email/Trade Shows,3,37800.0,4500.0,28800.0,31365.0,LOW,30240.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Cork & Closure Suppliers for Spirits,36000,108000,69,Retainer,45,LinkedIn/Cold Email,3,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Filtration Equipment Suppliers for Distilleries,42000,126000,70,Retainer,55,LinkedIn/Cold Email,3,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Copper Still Manufacturers,54000,162000,72,Retainer,65,LinkedIn/Cold Email/Trade Shows,3,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Fermentation Equipment Suppliers,42000,126000,70,Retainer,55,LinkedIn/Cold Email,3,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Flavoring & Extract Suppliers for Spirits,42000,126000,70,Retainer,50,LinkedIn/Cold Email,3,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,3,3,10.0,10.0,6.0,6.0,8.4
Spirit Capsule & Seal Manufacturers,36000,108000,69,Retainer,45,LinkedIn/Cold Email,3,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,3,3,10.0,10.0,6.0,6.0,8.4
